# Clean QT web-novel lexicon v4. Project-authored, CC0-1.0.
# raw_key	translated_value	type	provenance
# Translation/runtime terms observed in multi-chapter regression corpora.
掌握	nắm vững	general	project:webnovel-v4:action
尽在掌握	nắm rõ trong tay	general	project:webnovel-v4:action
熟练掌握	thành thạo	general	project:webnovel-v4:action
完全掌握	hoàn toàn nắm vững	general	project:webnovel-v4:action
牢牢掌握	nắm chắc	general	project:webnovel-v4:action
赐予	ban cho	general	project:webnovel-v4:divine
赐下	ban xuống	general	project:webnovel-v4:divine
神赐	thần ban	general	project:webnovel-v4:divine
赐福	ban phước	general	project:webnovel-v4:divine
降下赐福	ban phước xuống	general	project:webnovel-v4:divine
神赐之力	sức mạnh thần ban	general	project:webnovel-v4:divine
神明赐福	phước lành của thần linh	general	project:webnovel-v4:divine
神力灌注	truyền thần lực vào	general	project:webnovel-v4:divine
灌注	truyền vào	general	project:webnovel-v4:action
灌注入	truyền vào	general	project:webnovel-v4:action
灌顶	quán đỉnh	general	project:webnovel-v4:cultivation
灌顶传功	quán đỉnh truyền công	general	project:webnovel-v4:cultivation
祂	Ngài	general	project:webnovel-v4:pronoun
祂们	Các Ngài	general	project:webnovel-v4:pronoun
全知之父	Đấng Cha Toàn Tri	title	project:webnovel-v4:divine
启蒙之主	Chúa Tể Khai Minh	title	project:webnovel-v4:divine
神之眼	Mắt Thần	skill_name	project:webnovel-v4:divine
神谕	thần dụ	general	project:webnovel-v4:divine
神迹	thần tích	general	project:webnovel-v4:divine
神职	thần chức	general	project:webnovel-v4:divine
权柄	quyền bính	general	project:webnovel-v4:divine
权能	quyền năng	general	project:webnovel-v4:divine
信仰之力	sức mạnh tín ngưỡng	general	project:webnovel-v4:divine
信仰转化	chuyển hóa tín ngưỡng	general	project:webnovel-v4:divine
有求必应	cầu gì được nấy	general	project:webnovel-v4:idiom
洞窟	hang động	general	project:webnovel-v4:scene
地下洞窟	hang động dưới lòng đất	general	project:webnovel-v4:scene
洞穴	hang động	general	project:webnovel-v4:scene
地牢	ngục tối	general	project:webnovel-v4:scene
祭坛	tế đàn	general	project:webnovel-v4:scene
仪式现场	hiện trường nghi thức	general	project:webnovel-v4:scene
阴森	âm u	general	project:webnovel-v4:scene
阴暗潮湿	tối tăm ẩm thấp	general	project:webnovel-v4:scene
漆黑	đen kịt	general	project:webnovel-v4:scene
幽绿	xanh lục u ám	general	project:webnovel-v4:scene
烛火	ánh nến	general	project:webnovel-v4:scene
虚无缥缈	hư vô mờ mịt	general	project:webnovel-v4:description
鬼祟	quỷ quái	general	project:webnovel-v4:description
鬼祟之徒	kẻ mờ ám	general	project:webnovel-v4:person
畸变	biến dị	general	project:webnovel-v4:mutation
异变	biến cố bất thường	general	project:webnovel-v4:mutation
畸变怪	quái vật biến dị	general	project:webnovel-v4:mutation
畸变体	thể biến dị	general	project:webnovel-v4:mutation
畸变怪物	quái vật biến dị	general	project:webnovel-v4:mutation
血肉怪物	quái vật máu thịt	general	project:webnovel-v4:mutation
肉瘤	khối u thịt	general	project:webnovel-v4:mutation
血块	cục máu thịt	general	project:webnovel-v4:mutation
眼球	nhãn cầu	general	project:webnovel-v4:mutation
口器	miệng hút	general	project:webnovel-v4:mutation
触手	xúc tu	general	project:webnovel-v4:mutation
