# QT Clean v8 reviewed chapter-level grammar phrases. License: CC0-1.0
# source<TAB>Vietnamese<TAB>type<TAB>provenance
像是被渲染上了一层滤镜	như được phủ thêm một lớp màu	general	project:qt-corrections-v8:narrative
表演的冲击	ấn tượng từ màn biểu diễn	general	project:qt-corrections-v8:narrative
哥哥弟弟们	các anh em	general	project:qt-corrections-v8:plural
不比哥哥弟弟们小	không kém các anh em	general	project:qt-corrections-v8:comparison
一直很懂规矩	luôn rất hiểu quy củ	general	project:qt-corrections-v8:manner
很守规矩	rất giữ quy củ	general	project:qt-corrections-v8:manner
在那简陋棚子下	dưới căn lều đơn sơ ấy	general	project:qt-corrections-v8:location
另一种属于野性的风采	một vẻ đẹp hoang dã khác	general	project:qt-corrections-v8:narrative
上不得台面	không thể phô ra nơi trang trọng	general	project:qt-corrections-v8:idiom
那气味	mùi hương ấy	general	project:qt-corrections-v8:narrative
真的好好闻啊	thật sự rất dễ chịu	general	project:qt-corrections-v8:idiom
像是画里的人	như người trong tranh	general	project:qt-corrections-v8:comparison
画里的人	người trong tranh	general	project:qt-corrections-v8:location
忘记了自己的处境	quên mất tình cảnh của mình	general	project:qt-corrections-v8:aspect
仿佛已不记得	như thể đã không còn nhớ	general	project:qt-corrections-v8:comparison
自己还在水中	mình vẫn đang ở dưới nước	general	project:qt-corrections-v8:location
忽略了无法呼吸的恐慌	quên cả nỗi hoảng sợ vì không thể thở	general	project:qt-corrections-v8:attributive
无法呼吸的恐慌	nỗi hoảng sợ vì không thể thở	general	project:qt-corrections-v8:attributive
口鼻里不断呛进的水	nước liên tục sặc vào miệng mũi	general	project:qt-corrections-v8:attributive
一起挤在前面看表演时	khi cùng chen lên phía trước xem biểu diễn	general	project:qt-corrections-v8:time
扭着腰唱着歌	vừa lắc eo vừa hát	general	project:qt-corrections-v8:parallel
来到自己跟前	đến trước mặt mình	general	project:qt-corrections-v8:directional
特意伸手	cố ý đưa tay ra	general	project:qt-corrections-v8:manner
摸了摸他的脸	sờ mặt hắn	general	project:qt-corrections-v8:aspect
孩子堆里	giữa đám trẻ	general	project:qt-corrections-v8:location
白净得如同一个瓷娃	trắng trẻo như một búp bê sứ	general	project:qt-corrections-v8:comparison
两侧肩膀	hai bên vai	general	project:qt-corrections-v8:location
氛围感	bầu không khí	general	project:qt-corrections-v8:narrative
诡异莫名的着迷	sự mê hoặc kỳ lạ khó hiểu	general	project:qt-corrections-v8:attributive
打了麻醉退去效果的人	người vừa hết thuốc mê	general	project:qt-corrections-v8:attributive
恢复了痛感	cảm thấy đau trở lại	general	project:qt-corrections-v8:result
死死扣着自己	giữ chặt lấy mình	general	project:qt-corrections-v8:result
如何摆动	vùng vẫy thế nào	general	project:qt-corrections-v8:manner
都无法挣脱	vẫn không thể thoát ra	general	project:qt-corrections-v8:result
以前在学校里玩过的拔河	trò kéo co từng chơi ở trường trước đây	general	project:qt-corrections-v8:attributive
不过这次他是绳子	nhưng lần này hắn lại là sợi dây	general	project:qt-corrections-v8:narrative
伴随着某种脱离	theo một cảm giác thoát ra	general	project:qt-corrections-v8:narrative
越飘越高	càng nổi càng cao	general	project:qt-corrections-v8:degree
二人之间	giữa hai người	general	project:qt-corrections-v8:location
本不可能出现的深渊	vực sâu vốn không thể xuất hiện	general	project:qt-corrections-v8:attributive
身上背着竹篓	đeo gùi tre trên lưng	general	project:qt-corrections-v8:location
抓着这竹篓向上发力	nắm gùi tre và dồn sức kéo lên	general	project:qt-corrections-v8:parallel
死沉死沉	nặng trĩu	general	project:qt-corrections-v8:degree
较劲	vật sức	general	project:qt-corrections-v8:idiom
不让自己外孙上来	không cho cháu ngoại của mình nổi lên	general	project:qt-corrections-v8:result
向后发力	dồn sức kéo về sau	general	project:qt-corrections-v8:directional
来不及起身	chưa kịp đứng dậy	general	project:qt-corrections-v8:time
吼了一声	hét lên một tiếng	general	project:qt-corrections-v8:speech
没再掉链子	không còn làm hỏng việc	general	project:qt-corrections-v8:idiom
使出吃奶的劲	dùng hết sức bình sinh	general	project:qt-corrections-v8:idiom
撑篙	chống sào	general	project:qt-corrections-v8:action
快速向另一边转移	nhanh chóng chuyển sang phía bên kia	general	project:qt-corrections-v8:directional
惊恐地指向前方	hoảng sợ chỉ về phía trước	general	project:qt-corrections-v8:manner
伴随着船身的移动	theo chuyển động của con thuyền	general	project:qt-corrections-v8:narrative
一团黑色头发	mớ tóc đen	general	project:qt-corrections-v8:classifier
跟着向这里过来	đuổi theo về phía này	general	project:qt-corrections-v8:directional
哥俩喊着号子一起发力	hai anh em cùng hô nhịp và dồn sức	general	project:qt-corrections-v8:parallel
船速进一步加快	thuyền càng tăng tốc	general	project:qt-corrections-v8:degree
抄起一根鱼竿	chộp lấy một cần câu	general	project:qt-corrections-v8:action
神情凝重	vẻ mặt nghiêm trọng	general	project:qt-corrections-v8:narrative
缩短着与船的距离	rút ngắn khoảng cách với thuyền	general	project:qt-corrections-v8:directional
大喝了一声	hét lớn một tiếng	general	project:qt-corrections-v8:speech
对着那团头发前方一点的位置	nhắm vào vị trí ngay trước mớ tóc	general	project:qt-corrections-v8:location
捅了过去	đâm tới	general	project:qt-corrections-v8:directional
应该是捅中了	dường như đã đâm trúng	general	project:qt-corrections-v8:aspect
没受到丝毫阻力	không gặp chút lực cản nào	general	project:qt-corrections-v8:degree
反而出现了一股巨大的力量	trái lại xuất hiện một luồng sức mạnh khổng lồ	general	project:qt-corrections-v8:contrast
及时松开	kịp thời buông ra	general	project:qt-corrections-v8:time
抓着鱼竿的手	bàn tay đang nắm cần câu	general	project:qt-corrections-v8:attributive
否则已经被这股可怕的力道拽下水了	nếu không đã bị luồng sức mạnh đáng sợ ấy kéo xuống nước	general	project:qt-corrections-v8:conditional
更近了	gần hơn rồi	general	project:qt-corrections-v8:degree
水下女人的黑色旗袍身影	bóng người phụ nữ mặc sườn xám đen dưới nước	general	project:qt-corrections-v8:attributive
明明河在向东流	rõ ràng dòng sông chảy về phía đông	general	project:qt-corrections-v8:directional
逆着水流行进	đi ngược dòng nước	general	project:qt-corrections-v8:directional
逐步剧烈	ngày càng dữ dội	general	project:qt-corrections-v8:degree
水性好不好的问题	vấn đề bơi giỏi hay không	general	project:qt-corrections-v8:question
邪门得紧	tà dị vô cùng	general	project:qt-corrections-v8:degree
来不及多加思索	chưa kịp suy nghĩ thêm	general	project:qt-corrections-v8:time
