# QT Clean v2 project-authored VietPhrase extension. License: CC0-1.0
# source<TAB>target<TAB>type<TAB>category
不由自主	không tự chủ được	general	narration
不知不觉	bất giác	general	narration
若有所思	đăm chiêu suy nghĩ	general	narration
意味深长	đầy ẩn ý	general	narration
难以置信	khó tin	general	narration
不可思议	không thể tưởng tượng nổi	general	narration
理所当然	đương nhiên	general	narration
毋庸置疑	không thể nghi ngờ	general	narration
毫无疑问	không còn nghi ngờ gì	general	narration
显而易见	rõ ràng	general	narration
一言不发	không nói một lời	general	narration
沉默不语	im lặng không nói	general	narration
欲言又止	muốn nói rồi lại thôi	general	narration
脱口而出	buột miệng nói ra	general	narration
异口同声	đồng thanh	general	narration
自言自语	lẩm bẩm một mình	general	narration
喃喃自语	lẩm bẩm	general	narration
冷冷说道	lạnh lùng nói	general	speech
沉声说道	trầm giọng nói	general	speech
低声说道	nhỏ giọng nói	general	speech
轻声说道	khẽ nói	general	speech
朗声说道	cất giọng nói	general	speech
厉声喝道	quát lớn	general	speech
开口说道	lên tiếng nói	general	speech
缓缓说道	chậm rãi nói	general	speech
继续说道	nói tiếp	general	speech
补充说道	nói thêm	general	speech
反问道	hỏi ngược lại	general	speech
回答道	trả lời	general	speech
解释道	giải thích	general	speech
提醒道	nhắc nhở	general	speech
警告道	cảnh cáo	general	speech
命令道	ra lệnh	general	speech
恳求道	cầu xin	general	speech
惊呼道	kinh ngạc thốt lên	general	speech
失声叫道	thất thanh kêu lên	general	speech
忍不住问	không nhịn được hỏi	general	speech
忍不住说道	không nhịn được nói	general	speech
话音刚落	vừa dứt lời	general	speech
话还没说完	chưa nói hết câu	general	speech
目瞪口呆	trợn mắt há hốc mồm	general	expression
大吃一惊	giật mình kinh hãi	general	expression
脸色一变	sắc mặt biến đổi	general	expression
脸色苍白	sắc mặt tái nhợt	general	expression
面无表情	mặt không cảm xúc	general	expression
神色凝重	vẻ mặt nghiêm trọng	general	expression
神情复杂	vẻ mặt phức tạp	general	expression
眉头紧皱	nhíu chặt mày	general	expression
皱了皱眉	khẽ nhíu mày	general	expression
微微一笑	khẽ mỉm cười	general	expression
苦笑一声	cười khổ	general	expression
冷笑一声	cười lạnh	general	expression
深吸一口气	hít sâu một hơi	general	action
长出一口气	thở phào một hơi	general	action
倒吸一口凉气	hít vào một hơi lạnh	general	action
握紧拳头	siết chặt nắm tay	general	action
握紧长剑	siết chặt trường kiếm	general	action
咬紧牙关	nghiến chặt răng	general	action
咬了咬牙	cắn răng	general	action
点了点头	gật đầu	general	action
摇了摇头	lắc đầu	general	action
摆了摆手	xua tay	general	action
挥了挥手	vẫy tay	general	action
抬起头	ngẩng đầu	general	action
低下头	cúi đầu	general	action
转过身	quay người	general	action
转身离开	quay người rời đi	general	action
迈步向前	cất bước tiến lên	general	action
快步走去	nhanh chân đi tới	general	action
缓步走来	chậm rãi đi tới	general	action
飞身而起	phi thân bay lên	general	action
纵身一跃	nhún người nhảy lên	general	action
猛然回头	đột nhiên quay đầu	general	action
下意识地	theo bản năng	general	narration
有意无意	cố ý hay vô tình	general	narration
从容不迫	bình tĩnh ung dung	general	narration
小心翼翼	hết sức cẩn thận	general	narration
迫不及待	không thể chờ thêm	general	narration
当机立断	quyết đoán ngay lập tức	general	narration
毫不犹豫	không chút do dự	general	narration
犹豫片刻	do dự một lát	general	narration
思索片刻	suy nghĩ một lát	general	narration
沉吟片刻	trầm ngâm một lát	general	narration
过了片刻	một lát sau	general	time
与此同时	cùng lúc đó	general	time
转眼之间	trong chớp mắt	general	time
眨眼之间	trong nháy mắt	general	time
顷刻之间	trong khoảnh khắc	general	time
一时之间	nhất thời	general	time
从始至终	từ đầu đến cuối	general	time
自始至终	từ đầu đến cuối	general	time
有朝一日	một ngày nào đó	general	time
来日方长	ngày tháng còn dài	general	time
事到如今	đến nước này	general	narration
既然如此	đã vậy	general	conjunction
话虽如此	dù nói vậy	general	conjunction
即便如此	dù vậy	general	conjunction
尽管如此	mặc dù vậy	general	conjunction
不仅如此	không chỉ vậy	general	conjunction
除此之外	ngoài ra	general	conjunction
换句话说	nói cách khác	general	conjunction
总而言之	tóm lại	general	conjunction
归根结底	suy cho cùng	general	conjunction
另一方面	mặt khác	general	conjunction
果不其然	quả nhiên	general	narration
不出所料	không ngoài dự liệu	general	narration
出乎意料	ngoài dự liệu	general	narration
意料之外	ngoài dự liệu	general	narration
情理之中	hợp tình hợp lý	general	narration
大局已定	đại cục đã định	general	narration
